ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
CA23012231,"05/16/2023, 7:00:00 PM","08/03/2023, 12:24:14 PM",LETHBRIDGE,AB,.,2100 Block 12 AV, RMS] Threats,Other,Threats
RM23054347,"06/26/2023, 5:00:00 PM","08/03/2023, 11:23:51 AM",LETHBRIDGE,AB,.,1 Block ST & CROWSNEST TR, RMS] TSA - Traffic Safety Act,Traffic,TSA - Traffic Safety Act
CA23010934,"05/16/2023, 3:44:00 PM","08/03/2023, 10:23:41 AM",LETHBRIDGE,AB,.,1 Block COUGAR CV, RMS] Neighbour Disputes,Quality of Life,Neighbour Disputes
CA23012039,"05/28/2023, 2:07:00 AM","08/03/2023, 6:23:41 AM",LETHBRIDGE,AB,.,1 Block DALHOUSIE CT, RMS] Assist Others,Other,Assist Others
CA23012054,"05/28/2023, 5:04:00 AM","08/01/2023, 8:46:06 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23012201,"05/29/2023, 9:07:00 PM","08/01/2023, 8:46:23 AM",LETHBRIDGE,AB,.,700 Block 1 AV, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
CA23012186,"05/29/2023, 7:00:00 AM","08/01/2023, 8:46:22 AM",LETHBRIDGE,AB,.,800 Block 6 AV, RMS] Theft From Auto Under,Theft from Vehicle,Theft From Auto Under
CA23018039,"05/09/2023, 7:15:00 PM","08/01/2023, 8:46:13 AM",LETHBRIDGE,AB,.,200 Block SUNRIDGE RD, RMS] Theft Of Bike Under,Theft,Theft Of Bike Under
CA23015052,"06/24/2023, 12:00:00 AM","07/31/2023, 5:26:25 PM",CARDSTON,AB,T0K,, RMS] Theft Under;[RMS] Assist Others,Other,Theft Under
CA23012071,"05/28/2023, 12:17:00 PM","07/30/2023, 9:07:27 AM",LETHBRIDGE,AB,.,1 Block 3 ST, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
CA23017849,"05/01/2023, 7:00:00 AM","07/30/2023, 1:10:01 AM",LETHBRIDGE,AB,.,200 Block 7A AV, RMS] Theft Under,Theft,Theft Under
CA23017787,"05/11/2023, 9:15:00 PM","07/29/2023, 8:46:40 AM",LETHBRIDGE,AB,.,1200 Block 5 AV, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
CA23012217,"05/30/2023, 12:25:00 AM","07/29/2023, 8:46:42 AM",LETHBRIDGE,AB,.,500 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23012400,"05/31/2023, 12:14:00 AM","07/29/2023, 8:46:36 AM",LETHBRIDGE,AB,.,2900 Block 32 ST, RMS] Assist Others,Other,Assist Others
CA23012393,"05/26/2023, 6:56:00 PM","07/29/2023, 12:45:10 AM",LETHBRIDGE,AB,.,200 Block 1 AV, RMS] Shoplifting $5000 or Under,Theft,Shoplifting $5000 or Under
RM23054276,"04/26/2023, 7:15:00 PM","07/29/2023, 12:45:10 AM",LETHBRIDGE,AB,.,400 Block HIGHLANDS BD, RMS] Assist Others,Other,Assist Others
CA23017712,"04/01/2023, 2:57:00 PM","07/28/2023, 9:31:47 AM",LETHBRIDGE,AB,.,100 Block ALGONQUIN RD, RMS] Fraud,Other,Fraud
CA23012382,"05/31/2023, 8:12:00 PM","07/28/2023, 9:31:58 AM",LETHBRIDGE,AB,.,300 Block 6 ST, RMS] Theft Under,Theft,Theft Under
CA23015121,"06/29/2023, 7:24:00 PM","07/28/2023, 8:32:04 AM",LETHBRIDGE,AB,.,800 Block 2A AV, RMS] Drug Complaint General,Quality of Life,Drug Complaint General
CA23011425,"05/21/2023, 6:44:00 PM","07/28/2023, 1:32:16 AM",LETHBRIDGE,AB,.,800 Block 2A AV," RMS] Domestic Related;[RMS] Fail to Comply with Conditions/Appear, etc. 145(3), 145(4), 145(5)",Other,Domestic Related
CA23017621,"06/02/2023, 3:51:00 AM","07/27/2023, 10:20:05 AM",LETHBRIDGE,AB,.,300 Block 5 ST, RMS] Neighbour Disputes,Quality of Life,Neighbour Disputes
RM23052441,"05/09/2023, 6:08:00 PM","07/27/2023, 9:24:10 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23052440,"05/09/2023, 6:06:00 PM","07/27/2023, 9:24:10 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23010234,"05/08/2023, 6:10:00 PM","07/27/2023, 9:24:20 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Check On Welfare,Other,Check On Welfare
RM23054238,"06/30/2023, 7:00:00 AM","07/27/2023, 9:24:05 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23014851,"06/01/2023, 7:00:00 AM","07/27/2023, 9:24:35 AM",LETHBRIDGE,AB,.,2400 Block 12 AV, RMS] Fraud,Other,Fraud
RM23052755,"05/25/2023, 5:57:00 PM","07/27/2023, 9:24:13 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23052754,"05/25/2023, 5:42:00 PM","07/27/2023, 9:24:12 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
