ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
RM23054328,"02/23/2023, 7:00:00 AM","08/03/2023, 5:23:52 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Disobey Court Order 127 CC,Other,Disobey Court Order 127 CC
CA23017690,"03/31/2023, 9:00:00 PM","07/28/2023, 9:31:57 AM",LETHBRIDGE,AB,.,200 Block 41 ST, RMS] Fraud,Other,Fraud
CA23010565,"02/01/2023, 7:01:00 AM","07/28/2023, 8:32:17 AM",LETHBRIDGE,AB,.,400 Block HIGHLANDS BD, RMS] Assist Others,Other,Assist Others
RM23054228,"02/12/2023, 11:00:00 PM","07/27/2023, 1:20:05 AM",LETHBRIDGE,AB,.,1 Block PRINCETON CR, RMS] Sexual Assault,Sexual Offense,Sexual Assault
CA23010289,"02/12/2023, 11:13:00 AM","07/27/2023, 1:20:25 AM",LETHBRIDGE,AB,.,1600 Block SCENIC HT, RMS] Fraud,Other,Fraud
RM23052377,"03/31/2023, 3:00:00 PM","07/22/2023, 8:40:42 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23015761,"01/29/2023, 7:00:00 AM","07/22/2023, 8:40:42 AM",LETHBRIDGE,AB,.,1 Block ALGONQUIN RD, RMS] Domestic Related,Other,Domestic Related
RM23054064,"01/01/2023, 7:50:00 PM","07/19/2023, 9:11:20 AM",LETHBRIDGE,AB,.,500 Block 20 ST, RMS] Assault,Assault,Assault
RM23053849,"03/13/2023, 7:00:00 AM","07/12/2023, 12:49:39 AM",LETHBRIDGE,AB,.,300 Block SKEENA CR, RMS] Crimestoppers,Other,Crimestoppers
CA23015988,"03/01/2023, 7:00:00 AM","07/09/2023, 4:40:18 PM",LETHBRIDGE,AB,.,500 Block 10 ST, RMS] Lost Property,Other,Lost Property
RM23053379,"03/06/2023, 3:00:00 PM","07/05/2023, 12:37:18 AM",LETHBRIDGE,AB,.,100 Block HERITAGE CI," RMS] Child pornography (possession or accessing) (Sec 163.1.(4) (a) (b), 163.1 (4.1) (a) (b) CC)",Other,"Child pornography (possession or accessing) (Sec 163.1.(4) (a) (b), 163.1 (4.1) (a) (b) CC)"
RM23053681,"03/19/2023, 7:00:00 AM","07/05/2023, 12:37:28 AM",LETHBRIDGE,AB,.,200 Block SUNRIDGE RD, RMS] Child pornography (Making or distributing) (Sec 163.1(2) / 163.1(3) CC),Other,Child pornography (making or distributing) (Sec 163.1(2) / 163.1(3) CC)
CA23009436,"01/01/2023, 3:00:00 PM","07/05/2023, 12:37:29 AM",LETHBRIDGE,AB,.,1 Block ALGONQUIN RD, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
