ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
CA23018227,"12/25/2022, 12:00:00 AM","08/03/2023, 1:23:51 PM",LETHBRIDGE,AB,.,1600 Block ST GEORGE RD, RMS] Assault,Assault,Assault
CA23016523,"12/01/2022, 9:04:00 AM","08/03/2023, 8:23:45 AM",LETHBRIDGE,AB,T1J 5J4,100 Block GOLDENROD RD, RMS] Fraud - Identity Fraud,Other,Fraud - Identity Fraud
RM23054146,"10/21/2022, 4:00:00 PM","07/22/2023, 8:39:56 AM",LETHBRIDGE,AB,.,100 Block FAIRMONT BD, RMS] Proceeds Of Crime Criminal Cod,Other,Proceeds Of Crime Criminal Cod
CA23008687,"11/01/2022, 7:00:00 AM","07/06/2023, 9:00:30 AM",LETHBRIDGE,AB,.,1 Block BLACKFOOT CI, RMS] Sexual Assault,Sexual Offense,Sexual Assault
RM22058254,"12/16/2022, 1:00:00 PM","07/06/2023, 9:00:20 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23053425,"11/02/2022, 7:00:00 AM","06/23/2023, 12:25:39 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Theft From Auto Under,Theft from Vehicle,Theft From Auto Under
RM23053376,"12/20/2022, 7:00:00 AM","06/21/2023, 8:55:19 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM22057899,"11/28/2022, 1:59:00 PM","06/15/2023, 8:23:35 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22026022,"11/25/2022, 9:23:00 PM","06/15/2023, 12:23:34 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025990,"11/25/2022, 6:01:00 PM","06/15/2023, 12:23:33 AM",LETHBRIDGE,AB,T1J 2G6,UNKNOWN, RMS] Check On Welfare,Other,Check On Welfare
RM22058179,"11/26/2022, 7:01:00 AM","06/15/2023, 12:23:32 AM",LETHBRIDGE,AB,.,200 Block FIRELIGHT CR, RMS] Firearms Act,Other,Firearms Act
CA22025917,"11/24/2022, 8:05:00 PM","06/14/2023, 8:18:09 AM",LETHBRIDGE,AB,.,1 Block SIXMILE RG, RMS] Court Order Apprehension - PChAD,Other,Court Order Apprehension - PChAD
CA22025815,"11/23/2022, 6:53:00 PM","06/14/2023, 8:18:09 AM",LETHBRIDGE,AB,.,1 Block PEIGAN CT, RMS] Check On Welfare,Other,Check On Welfare
CA22025399,"11/18/2022, 5:27:00 PM","06/14/2023, 12:17:31 AM",LETHBRIDGE,AB,.,1200 Block 3 AV, RMS] Other Drugs - Possession,Quality of Life,Other Drugs - Possession
CA22025443,"11/19/2022, 12:11:00 AM","06/14/2023, 12:17:32 AM",LETHBRIDGE,AB,.,1100 Block 28A ST, RMS] Assist Others,Other,Assist Others
RM22057689,"11/18/2022, 5:55:00 PM","06/14/2023, 12:17:35 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057684,"11/18/2022, 1:10:00 AM","06/14/2023, 12:17:35 AM",LETHBRIDGE,AB,.,3500 Block MAYOR MAGRATH DR, RMS] Assist Others,Other,Assist Others
CA22025354,"11/18/2022, 3:30:00 AM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,800 Block 2A AV," RMS] Fail to Comply with Conditions/Appear, etc. 145(3), 145(4), 145(5)",Other,"Fail to Comply with Conditions/Appear, etc. 145(3), 145(4), 145(5)"
CA22025356,"11/18/2022, 12:56:00 AM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,500 Block 21 ST, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
CA22025287,"11/17/2022, 4:14:00 AM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,T1J 2G6,UNKNOWN, RMS] Check On Welfare,Other,Check On Welfare
CA22025340,"11/17/2022, 3:56:00 PM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,300 Block MCMASTER BD, RMS] Check On Welfare,Other,Check On Welfare
CA22025288,"11/17/2022, 4:13:00 AM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,MARIE VAN HAARLEM CR & MILDRED DOBBS BD, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CA22025381,"11/18/2022, 11:38:00 AM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,600 Block 8 ST, RMS] Drug Complaint General,Quality of Life,Drug Complaint General
CA22025261,"11/16/2022, 9:00:00 PM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,1 Block AV & SCENIC DR, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
RM22057638,"11/14/2022, 11:30:00 PM","06/13/2023, 8:28:12 AM",LETHBRIDGE,AB,.,1 Block AV & 24 ST, RMS] Assist Others,Other,Assist Others
CA22025226,"11/16/2022, 3:35:00 AM","06/13/2023, 12:28:16 AM",LETHBRIDGE,AB,.,1 Block MAURETANIA RD, RMS] Drug Complaint General,Quality of Life,Drug Complaint General
CA22025221,"11/16/2022, 2:53:00 AM","06/13/2023, 12:28:16 AM",LETHBRIDGE,AB,.,100 Block LAVAL BD, RMS] Assist Others,Other,Assist Others
CA22025243,"11/16/2022, 3:55:00 PM","06/13/2023, 12:28:16 AM",LETHBRIDGE,AB,.,3000 Block 2 AV, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
CA22025227,"11/16/2022, 3:59:00 AM","06/13/2023, 12:28:16 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025155,"11/15/2022, 2:07:00 AM","06/13/2023, 12:28:17 AM",LETHBRIDGE,AB,.,1000 Block VENTURA CR, RMS] Check On Welfare,Other,Check On Welfare
CA22025194,"11/15/2022, 3:42:00 PM","06/13/2023, 12:28:17 AM",LETHBRIDGE,AB,.,200 Block INDIAN BATTLE RD, RMS] Assist Others,Other,Assist Others
CA22025214,"11/15/2022, 9:47:00 PM","06/13/2023, 12:28:17 AM",LETHBRIDGE,AB,.,1800 Block 5A AV, RMS] Check On Welfare,Other,Check On Welfare
CA22025135,"11/14/2022, 10:41:00 PM","06/13/2023, 12:28:17 AM",LETHBRIDGE,AB,.,1 Block ST & SCENIC DR, RMS] Motor Vehicle Injury Collision,Traffic,Motor Vehicle Injury Collision
CA22025142,"11/14/2022, 5:50:00 PM","06/10/2023, 8:25:38 AM",LETHBRIDGE,AB,T1J 5G9,500 Block CABOT LD, RMS] Check On Welfare,Other,Check On Welfare
CA22025153,"11/14/2022, 6:14:00 PM","06/10/2023, 8:25:38 AM",LETHBRIDGE,AB,.,700 Block ABERDEEN CR, RMS] Assist Others,Other,Assist Others
CA22025102,"11/14/2022, 3:08:00 AM","06/10/2023, 8:25:38 AM",LETHBRIDGE,AB,T1J 2G6,UNKNOWN, RMS] Check On Welfare,Other,Check On Welfare
CA22025100,"11/14/2022, 3:50:00 AM","06/10/2023, 8:25:38 AM",LETHBRIDGE,AB,.,21100 Block HWY 512, RMS] Missing Pers Adult - Male,Other,Missing Pers Adult - Male
RM22057572,"11/14/2022, 6:30:00 AM","06/10/2023, 8:25:33 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025085,"11/13/2022, 8:57:00 PM","06/10/2023, 8:25:38 AM",LETHBRIDGE,AB,.,1 Block RIVERMILL LD, RMS] Assist Others,Other,Assist Others
RM22057616,"11/16/2022, 1:45:00 AM","06/10/2023, 8:25:34 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057613,"11/16/2022, 12:02:00 AM","06/10/2023, 8:25:34 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057606,"11/15/2022, 8:31:00 PM","06/10/2023, 8:25:34 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Request for Information,Other,Request for Information
RM22057605,"11/11/2022, 3:00:00 PM","06/10/2023, 8:25:34 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057602,"11/11/2022, 3:00:00 PM","06/10/2023, 8:25:33 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057593,"11/15/2022, 6:02:00 AM","06/10/2023, 8:25:33 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057660,"11/17/2022, 8:27:00 PM","06/10/2023, 8:25:34 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025065,"11/13/2022, 12:31:00 PM","06/10/2023, 8:25:38 AM",LETHBRIDGE,AB,.,2200 Block 7 AV, RMS] Check On Welfare,Other,Check On Welfare
RM22057567,"11/13/2022, 6:50:00 AM","06/10/2023, 8:25:33 AM",LETHBRIDGE,AB,.,500 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22024943,"11/11/2022, 11:20:00 PM","06/10/2023, 12:25:47 AM",LETHBRIDGE,AB,.,1 Block ST & CROWSNEST TR, RMS] Property Damage Collision over $2000,Traffic,Property Damage Collision over $2000
CA22024883,"11/11/2022, 12:32:00 AM","06/09/2023, 11:25:31 PM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025054,"11/13/2022, 6:05:00 AM","06/09/2023, 8:42:44 AM",LETHBRIDGE,AB,.,200 Block 3 AV, RMS] TSA - Traffic Safety Act,Traffic,TSA - Traffic Safety Act
CA22025465,"11/19/2022, 6:58:00 AM","06/09/2023, 8:42:45 AM",LETHBRIDGE,AB,.,300 Block 12B ST, RMS] High Risk Offender  (HRO) Patrol Management,Other,High Risk Offender  (HRO) Patrol Management
CA22025217,"11/15/2022, 11:44:00 PM","06/09/2023, 8:42:44 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025187,"11/15/2022, 5:00:00 PM","06/09/2023, 8:42:44 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057583,"11/14/2022, 8:02:00 PM","06/09/2023, 8:42:39 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Parolees - Day,Other,Parolees - Day
RM22057578,"10/28/2022, 3:00:00 PM","06/09/2023, 8:42:39 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM22057565,"11/13/2022, 12:45:00 PM","06/09/2023, 8:42:39 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA22025050,"11/13/2022, 4:20:00 AM","06/09/2023, 7:42:04 AM",LETHBRIDGE,AB,.,900 Block 19 ST, RMS] Check On Welfare,Other,Check On Welfare
CA22025011,"11/12/2022, 8:34:00 PM","06/09/2023, 7:42:04 AM",LETHBRIDGE,AB,.,UNNAMED & UNIVERSITY DR, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
CA22025016,"11/12/2022, 9:00:00 AM","06/09/2023, 7:42:04 AM",LETHBRIDGE,AB,.,2200 Block 28 ST, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
