address,lat,lng,incidentCount
"100 1 AV, LETHBRIDGE, AB, Canada",49.6978156,-112.840058,2193
"800 2A AV, LETHBRIDGE, AB, Canada",49.7017274,-112.831368,1361
"800 5 AV, LETHBRIDGE, AB, Canada",49.69259400000001,-112.8348547,925
"500 1 AV, LETHBRIDGE, AB, Canada",49.6979397,-112.8401578,864
"600 8 ST, LETHBRIDGE, AB, Canada",49.6907507,-112.8356567,832
"200 13 ST, LETHBRIDGE, AB, Canada",49.6973279,-112.8244215,742
"700 5 AV, LETHBRIDGE, AB, Canada",49.6926885,-112.8365976,716
"1200 2A AV, LETHBRIDGE, AB, Canada",49.7017274,-112.831368,650
"600 3 AV, LETHBRIDGE, AB, Canada",49.6956494,-112.8389458,631
"300 4 ST, LETHBRIDGE, AB, Canada",49.6952876,-112.8423961,524
"500 13 ST, LETHBRIDGE, AB, Canada",49.6934833,-112.8241261,519
"300 5 ST, LETHBRIDGE, AB, Canada",49.69563249999999,-112.8407104,510
"200 3 AV, LETHBRIDGE, AB, Canada",49.6951835,-112.8446626,501
"700 6 AV, LETHBRIDGE, AB, Canada",49.6908841,-112.836297,450
"400 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.7033344,-112.8107346,432
"1000 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.68356110000001,-112.8057741,407
"900 19 ST, LETHBRIDGE, AB, Canada",49.6862843,-112.8145122,404
"200 4 AV, LETHBRIDGE, AB, Canada",49.6936952,-112.841379,398
"400 STAFFORD DR, LETHBRIDGE, AB, Canada",49.70422550000001,-112.8346487,385
"500 6 AV, LETHBRIDGE, AB, Canada",49.6907037,-112.8395576,349
"500 11 ST, LETHBRIDGE, AB, Canada",49.69319900000001,-112.8309507,318
"900 1 AV, LETHBRIDGE, AB, Canada",49.6981337,-112.8337011,311
"700 5 ST, LETHBRIDGE, AB, Canada",49.6884689,-112.8398036,309
"2200 7 AV, LETHBRIDGE, AB, Canada",49.68896489999999,-112.8090082,307
"3700 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6572963,-112.7952404,301
"800 3 AV, LETHBRIDGE, AB, Canada",49.7029861,-112.8355521,300
"1000 9 AV, LETHBRIDGE, AB, Canada",49.6862901,-112.8304444,283
"1200 6 AV, LETHBRIDGE, AB, Canada",49.69118719999999,-112.828222,282
"500 7 ST, LETHBRIDGE, AB, Canada",49.69265610000001,-112.8370509,275
"900 2A AV, LETHBRIDGE, AB, Canada",49.7017274,-112.831368,272
"500 6 ST, LETHBRIDGE, AB, Canada",49.6926082,-112.8384441,265
"1700 2 AV, LETHBRIDGE, AB, Canada",49.7005864,-112.8184587,265
"3500 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.7019649,-112.8112595,260
"400 13 ST, LETHBRIDGE, AB, Canada",49.6946412,-112.8241178,252
"500 8 ST, LETHBRIDGE, AB, Canada",49.6926071,-112.8352441,250
"1100 3 AV, LETHBRIDGE, AB, Canada",49.7027034,-112.8315182,234
"1100 5 AV, LETHBRIDGE, AB, Canada",49.7053532,-112.8311376,216
"800 20 ST, LETHBRIDGE, AB, Canada",49.6880807,-112.813441,215
"200 5 AV, LETHBRIDGE, AB, Canada",49.6921069,-112.843051,215
"2100 PALM RD, LETHBRIDGE, AB, Canada",49.67227159999999,-112.7920944,198
"200 MT CRANDELL CR, LETHBRIDGE, AB, Canada",49.6575784,-112.8797194,192
"700 1 AV, LETHBRIDGE, AB, Canada",49.6979945,-112.8364563,191
"3200 20 AV, LETHBRIDGE, AB, Canada",49.6730014,-112.794256,189
"700 4 AV, LETHBRIDGE, AB, Canada",49.703903,-112.8375206,187
"500 UNIVERSITY DR, LETHBRIDGE, AB, Canada",49.6926633,-112.8919356,182
"400 5 ST, LETHBRIDGE, AB, Canada",49.69377739999999,-112.8400691,180
"400 6 AV, LETHBRIDGE, AB, Canada",49.7078165,-112.8403081,175
"200 10 ST, LETHBRIDGE, AB, Canada",49.697205,-112.8323753,174
"500 1 ST, LETHBRIDGE, AB, Canada",49.6885645,-112.8456777,170
"100 13 ST, LETHBRIDGE, AB, Canada",49.69921189999999,-112.824738,169
"1200 3 AV, LETHBRIDGE, AB, Canada",49.70312120000001,-112.8292289,167
"200 14 ST, LETHBRIDGE, AB, Canada",49.700878,-112.8230491,166
"600 7 AV, LETHBRIDGE, AB, Canada",49.688714,-112.8377572,166
"600 4 AV, LETHBRIDGE, AB, Canada",49.7038985,-112.8393544,162
"100 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.6760615,-112.8738144,161
"300 STAFFORD DR, LETHBRIDGE, AB, Canada",49.7029968,-112.8346381,159
"200 7A AV, LETHBRIDGE, AB, Canada",49.6877025,-112.8446282,158
"2000 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6736541,-112.8006422,157
"200 12C ST, LETHBRIDGE, AB, Canada",49.6969565,-112.8261119,154
"1100 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6816813,-112.8052255,151
"400 18 ST, LETHBRIDGE, AB, Canada",49.6943464,-112.8161861,150
"1200 4 AV, LETHBRIDGE, AB, Canada",49.6948073,-112.8289899,146
"500 STAFFORD DR, LETHBRIDGE, AB, Canada",49.70522279999999,-112.8338796,145
"1200 5 AV, LETHBRIDGE, AB, Canada",49.693055,-112.8284662,145
"1 FOXBEND CR, LETHBRIDGE, AB, Canada",49.7286374,-112.8153883,140
"200 5 ST, LETHBRIDGE, AB, Canada",49.696487,-112.8407693,135
"200 2 AV, LETHBRIDGE, AB, Canada",49.69636120000001,-112.844233,134
"500 5 ST, LETHBRIDGE, AB, Canada",49.6924793,-112.8402791,132
"1700 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.67478,-112.80307,131
"3100 26 AV, LETHBRIDGE, AB, Canada",49.72744710000001,-112.7971815,122
"300 13 ST, LETHBRIDGE, AB, Canada",49.6959652,-112.8241116,121
"1600 SCENIC HT, LETHBRIDGE, AB, Canada",49.6738169,-112.8199189,119
"1 BERKELEY PL, LETHBRIDGE, AB, Canada",49.67661,-112.8713872,119
"200 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.70090820000001,-112.8123173,118
"400 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.6741614,-112.8846008,118
"300 6 ST, LETHBRIDGE, AB, Canada",49.695854,-112.838645,117
"1300 LAKEMOUNT BD, LETHBRIDGE, AB, Canada",49.679126,-112.7894772,117
"3700 2 AV, LETHBRIDGE, AB, Canada",49.7006656,-112.7871025,115
"600 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.67339399999999,-112.8917708,113
"400 12 ST, LETHBRIDGE, AB, Canada",49.704432,-112.8302753,112
"2300 13 ST, LETHBRIDGE, AB, Canada",49.7250078,-112.825161,111
"200 MCGILL BD, LETHBRIDGE, AB, Canada",49.666947,-112.8756146,110
"100 STAFFORD DR, LETHBRIDGE, AB, Canada",49.6975954,-112.8342054,109
"1400 9 AV, LETHBRIDGE, AB, Canada",49.6856973,-112.822353,107
"1 MICMAC BD, LETHBRIDGE, AB, Canada",49.6861331,-112.884923,106
"1300 23 AV, LETHBRIDGE, AB, Canada",49.7245518,-112.8234501,105
"100 ALGONQUIN RD, LETHBRIDGE, AB, Canada",49.6819291,-112.8824147,103
"1700 23 ST, LETHBRIDGE, AB, Canada",49.7199119,-112.8112381,103
"500 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6930843,-112.8101227,102
"1 MAURETANIA RD, LETHBRIDGE, AB, Canada",49.6707998,-112.9090726,102
"1400 ASHGROVE RD, LETHBRIDGE, AB, Canada",49.67801250000001,-112.7890276,101
"900 2 AV, LETHBRIDGE, AB, Canada",49.7007354,-112.8230618,101
"1200 2 AV, LETHBRIDGE, AB, Canada",49.7007355,-112.8230521,98
"1100 12B ST, LETHBRIDGE, AB, Canada",49.71508,-112.8274727,98
"2600 BLACKWOLF BD, LETHBRIDGE, AB, Canada",49.7384072,-112.8020445,95
"2600 SCENIC DR, LETHBRIDGE, AB, Canada",49.7274751,-112.830167,95
"200 12B ST, LETHBRIDGE, AB, Canada",49.6969565,-112.8261119,95
"2000 7 AV, LETHBRIDGE, AB, Canada",49.6892285,-112.812683,93
"1200 1 AV, LETHBRIDGE, AB, Canada",49.6980888,-112.8286927,92
"1 AQUITANIA BD, LETHBRIDGE, AB, Canada",49.67377219999999,-112.9028404,89
"400 SCENIC DR, LETHBRIDGE, AB, Canada",49.694253,-112.845172,89
"1 JERRY POTTS BD, LETHBRIDGE, AB, Canada",49.6789339,-112.885542,88
"1 COUGAR CV, LETHBRIDGE, AB, Canada",49.7334866,-112.8222595,88
"1000 27A ST, LETHBRIDGE, AB, Canada",49.7140195,-112.8024717,87
"2200 32 ST, LETHBRIDGE, AB, Canada",49.670554,-112.7945013,86
"200 SCENIC DR, LETHBRIDGE, AB, Canada",49.6985647,-112.8456248,85
"3000 COLLEGE DR, LETHBRIDGE, AB, Canada",49.66303809999999,-112.8089891,84
"400 8 ST, LETHBRIDGE, AB, Canada",49.6940924,-112.8356618,83
"200 BRITANNIA BD, LETHBRIDGE, AB, Canada",49.67328990000001,-112.9097205,83
"300 SCENIC DR, LETHBRIDGE, AB, Canada",49.6952639,-112.8451089,82
"1 PURDUE CT, LETHBRIDGE, AB, Canada",49.6749806,-112.8909804,82
"600 13 ST, LETHBRIDGE, AB, Canada",49.6914351,-112.8244255,82
"1 SIMON FRASER BD, LETHBRIDGE, AB, Canada",49.6666828,-112.8826493,81
"1700 ST EDWARD BD, LETHBRIDGE, AB, Canada",49.7208678,-112.8292556,81
