address,incidentCount,lat,lng
"1 1 AV, LETHBRIDGE, AB, Canada",24,49.6974745,-112.8508875
"1 3 ST, LETHBRIDGE, AB, Canada",22,49.7035266,-112.7521903
"1 5 AV, LETHBRIDGE, AB, Canada",5,49.6927503,-112.841036
"1 62 AV, LETHBRIDGE, AB, Canada",4,49.7564132,-112.8010326
"1 ABERDEEN BY, LETHBRIDGE, AB, Canada",1,49.6956181,-112.8451067
"1 ABERDEEN RD, LETHBRIDGE, AB, Canada",23,49.6957726,-112.9001982
"1 ACADIA RD, LETHBRIDGE, AB, Canada",22,49.6721184,-112.8684056
"1 ALGONQUIN BY, LETHBRIDGE, AB, Canada",3,49.6956181,-112.8451067
"1 ALGONQUIN PL, LETHBRIDGE, AB, Canada",5,49.6832497,-112.8841466
"1 ALGONQUIN RD, LETHBRIDGE, AB, Canada",26,49.67961649999999,-112.8857934
"1 ALMA ISOBELL HODDER CR, LETHBRIDGE, AB, Canada",2,49.7352097,-112.833572
"1 APERTURE DR, LETHBRIDGE, AB, Canada",2,49.6759383,-112.8654097
"1 APERTURE LP, LETHBRIDGE, AB, Canada",8,49.6759383,-112.8654097
"1 APERTURE PK, LETHBRIDGE, AB, Canada",1,49.6745392,-112.8641213
"1 AQUITANIA BD, LETHBRIDGE, AB, Canada",89,49.67377219999999,-112.9028404
"1 AQUITANIA CI, LETHBRIDGE, AB, Canada",21,49.67377219999999,-112.9028404
"1 ASSINIBOIA RD, LETHBRIDGE, AB, Canada",2,49.682552,-112.8924131
"1 ASSINIBOIA WY, LETHBRIDGE, AB, Canada",11,49.6802922,-112.8941015
"1 ATHABASCA RD, LETHBRIDGE, AB, Canada",13,49.6820505,-112.8934788
"1 ATHABASCA WY, LETHBRIDGE, AB, Canada",9,49.6813237,-112.8934654
"1 AV & 10 ST, LETHBRIDGE, AB, Canada",3,49.6982079,-112.8324813
"1 AV & 11 ST, LETHBRIDGE, AB, Canada",7,49.6982808,-112.8309175
"1 AV & 12 ST, LETHBRIDGE, AB, Canada",4,49.6983554,-112.8293377
"1 AV & 12A ST, LETHBRIDGE, AB, Canada",2,49.6984248,-112.8277686
"1 AV & 12C ST, LETHBRIDGE, AB, Canada",3,49.6984248,-112.8277686
"1 AV & 13 ST, LETHBRIDGE, AB, Canada",19,49.6991393,-112.8241186
"1 AV & 15 ST, LETHBRIDGE, AB, Canada",4,49.6989817,-112.8211918
"1 AV & 16 ST, LETHBRIDGE, AB, Canada",5,49.6989105,-112.8197569
"1 AV & 17 ST, LETHBRIDGE, AB, Canada",5,49.69885679999999,-112.8182361
