,address,incidentCount,lat,lng,incidentCummSum,daysWithIncidentPercent
0,"100 1 AV, LETHBRIDGE, AB, Canada",2193,49.6978156,-112.840058,0.04190872955205626,0.9854545454545455
1,"800 2A AV, LETHBRIDGE, AB, Canada",1361,49.7017274,-112.831368,0.06791774957957498,0.9418181818181818
2,"800 5 AV, LETHBRIDGE, AB, Canada",925,49.69259400000001,-112.8348547,0.08559471028894665,0.9127272727272727
3,"500 1 AV, LETHBRIDGE, AB, Canada",864,49.6979397,-112.8401578,0.10210594710288946,0.84
4,"600 8 ST, LETHBRIDGE, AB, Canada",832,49.6907507,-112.8356567,0.118005656627427,0.8109090909090909
5,"200 13 ST, LETHBRIDGE, AB, Canada",742,49.6973279,-112.8244215,0.13218544565051216,0.9054545454545454
6,"700 5 AV, LETHBRIDGE, AB, Canada",716,49.6926885,-112.8365976,0.14586836875095552,0.7418181818181818
7,"1200 2A AV, LETHBRIDGE, AB, Canada",650,49.7017274,-112.831368,0.15829001681700045,0.7709090909090909
8,"600 3 AV, LETHBRIDGE, AB, Canada",631,49.6956494,-112.8389458,0.17034857055496103,0.6
9,"300 4 ST, LETHBRIDGE, AB, Canada",524,49.6952876,-112.8423961,0.18036232991897264,0.7054545454545454
10,"500 13 ST, LETHBRIDGE, AB, Canada",519,49.6934833,-112.8241261,0.1902805381440147,0.8181818181818182
11,"300 5 ST, LETHBRIDGE, AB, Canada",510,49.69563249999999,-112.8407104,0.20002675431891148,0.6981818181818182
12,"200 3 AV, LETHBRIDGE, AB, Canada",501,49.6951835,-112.8446626,0.20960097844366304,0.610909090909091
13,"700 6 AV, LETHBRIDGE, AB, Canada",450,49.6908841,-112.836297,0.21820058095092493,0.7418181818181818
14,"400 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",432,49.7033344,-112.8107346,0.22645619935789635,0.6218181818181818
15,"1000 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",407,49.68356110000001,-112.8057741,0.23423406207001987,0.5309090909090909
16,"900 19 ST, LETHBRIDGE, AB, Canada",404,49.6862843,-112.8145122,0.24195459409876166,0.6145454545454545
17,"200 4 AV, LETHBRIDGE, AB, Canada",398,49.6936952,-112.841379,0.24956046476073995,0.6836363636363636
18,"400 STAFFORD DR, LETHBRIDGE, AB, Canada",385,49.70422550000001,-112.8346487,0.25691790246139734,0.8181818181818182
19,"500 6 AV, LETHBRIDGE, AB, Canada",349,49.6907037,-112.8395576,0.2635873719614738,0.48
20,"500 11 ST, LETHBRIDGE, AB, Canada",318,49.69319900000001,-112.8309507,0.2696644243999389,0.7563636363636363
21,"900 1 AV, LETHBRIDGE, AB, Canada",311,49.6981337,-112.8337011,0.2756077052438465,0.6981818181818182
22,"700 5 ST, LETHBRIDGE, AB, Canada",309,49.6884689,-112.8398036,0.2815127656321663,0.7745454545454545
23,"2200 7 AV, LETHBRIDGE, AB, Canada",307,49.68896489999999,-112.8090082,0.28737960556489833,0.44727272727272727
24,"3700 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",301,49.6572963,-112.7952404,0.2931317841308668,0.52
25,"800 3 AV, LETHBRIDGE, AB, Canada",300,49.7029861,-112.8355521,0.29886485246904143,0.4072727272727273
26,"1000 9 AV, LETHBRIDGE, AB, Canada",283,49.6862901,-112.8304444,0.30427304693471946,0.7090909090909091
27,"1200 6 AV, LETHBRIDGE, AB, Canada",282,49.69118719999999,-112.828222,0.30966213117260355,0.43272727272727274
28,"500 7 ST, LETHBRIDGE, AB, Canada",275,49.69265610000001,-112.8370509,0.3149174438159303,0.48727272727272725
29,"900 2A AV, LETHBRIDGE, AB, Canada",272,49.7017274,-112.831368,0.32011542577587526,0.5745454545454546
30,"500 6 ST, LETHBRIDGE, AB, Canada",265,49.6926082,-112.8384441,0.32517963614126283,0.5381818181818182
31,"1700 2 AV, LETHBRIDGE, AB, Canada",265,49.7005864,-112.8184587,0.33024384650665034,0.6581818181818182
32,"3500 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",260,49.7019649,-112.8112595,0.3352125057330683,0.3927272727272727
33,"400 13 ST, LETHBRIDGE, AB, Canada",252,49.6946412,-112.8241178,0.340028283137135,0.43636363636363634
34,"500 8 ST, LETHBRIDGE, AB, Canada",250,49.6926071,-112.8352441,0.3448058400856138,0.4509090909090909
35,"1100 3 AV, LETHBRIDGE, AB, Canada",234,49.7027034,-112.8315182,0.34927763338939,0.5163636363636364
36,"1100 5 AV, LETHBRIDGE, AB, Canada",216,49.7053532,-112.8311376,0.3534054425928757,0.3527272727272727
37,"800 20 ST, LETHBRIDGE, AB, Canada",215,49.6880807,-112.813441,0.3575141415685675,0.3490909090909091
38,"200 5 AV, LETHBRIDGE, AB, Canada",215,49.6921069,-112.843051,0.3616228405442593,0.4290909090909091
39,"2100 PALM RD, LETHBRIDGE, AB, Canada",198,49.67227159999999,-112.7920944,0.3654066656474545,0.33454545454545453
40,"200 MT CRANDELL CR, LETHBRIDGE, AB, Canada",192,49.6575784,-112.8797194,0.3690758293838863,0.3018181818181818
41,"700 1 AV, LETHBRIDGE, AB, Canada",191,49.6979945,-112.8364563,0.37272588289252406,0.4618181818181818
42,"3200 20 AV, LETHBRIDGE, AB, Canada",189,49.6730014,-112.794256,0.3763377159455741,0.32
43,"700 4 AV, LETHBRIDGE, AB, Canada",187,49.703903,-112.8375206,0.3799113285430362,0.38545454545454544
44,"500 UNIVERSITY DR, LETHBRIDGE, AB, Canada",182,49.6926633,-112.8919356,0.38338939000152883,0.3381818181818182
45,"400 5 ST, LETHBRIDGE, AB, Canada",180,49.69377739999999,-112.8400691,0.38682923100443356,0.4036363636363636
46,"400 6 AV, LETHBRIDGE, AB, Canada",175,49.7078165,-112.8403081,0.39017352086836876,0.45454545454545453
47,"200 10 ST, LETHBRIDGE, AB, Canada",174,49.697205,-112.8323753,0.39349870050451,0.44363636363636366
48,"500 1 ST, LETHBRIDGE, AB, Canada",170,49.6885645,-112.8456777,0.39674743922947564,0.4618181818181818
49,"100 13 ST, LETHBRIDGE, AB, Canada",169,49.69921189999999,-112.824738,0.3999770677266473,0.4072727272727273
50,"1200 3 AV, LETHBRIDGE, AB, Canada",167,49.70312120000001,-112.8292289,0.40316847576823117,0.34545454545454546
51,"600 7 AV, LETHBRIDGE, AB, Canada",166,49.688714,-112.8377572,0.4063407735820211,0.4581818181818182
52,"200 14 ST, LETHBRIDGE, AB, Canada",166,49.700878,-112.8230491,0.40951307139581106,0.27636363636363637
53,"600 4 AV, LETHBRIDGE, AB, Canada",162,49.7038985,-112.8393544,0.4126089282984253,0.2909090909090909
54,"100 COLUMBIA BD, LETHBRIDGE, AB, Canada",161,49.6760615,-112.8738144,0.41568567497324566,0.3236363636363636
55,"300 STAFFORD DR, LETHBRIDGE, AB, Canada",159,49.7029968,-112.8346381,0.4187242011924782,0.2545454545454545
56,"200 7A AV, LETHBRIDGE, AB, Canada",158,49.6877025,-112.8446282,0.42174361718391684,0.24727272727272728
57,"2000 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",157,49.6736541,-112.8006422,0.4247439229475615,0.3090909090909091
58,"200 12C ST, LETHBRIDGE, AB, Canada",154,49.6969565,-112.8261119,0.4276868980278245,0.44727272727272727
59,"1100 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",151,49.6816813,-112.8052255,0.4305725424247057,0.27636363636363637
60,"400 18 ST, LETHBRIDGE, AB, Canada",150,49.6943464,-112.8161861,0.433439076593793,0.4036363636363636
61,"1200 4 AV, LETHBRIDGE, AB, Canada",146,49.6948073,-112.8289899,0.4362291698517046,0.2727272727272727
62,"1200 5 AV, LETHBRIDGE, AB, Canada",145,49.693055,-112.8284662,0.43900015288182237,0.27636363636363637
63,"500 STAFFORD DR, LETHBRIDGE, AB, Canada",145,49.70522279999999,-112.8338796,0.44177113591194006,0.27636363636363637
64,"1 FOXBEND CR, LETHBRIDGE, AB, Canada",140,49.7286374,-112.8153883,0.4444465678030882,0.2509090909090909
65,"200 5 ST, LETHBRIDGE, AB, Canada",135,49.696487,-112.8407693,0.4470264485552668,0.3490909090909091
66,"200 2 AV, LETHBRIDGE, AB, Canada",134,49.69636120000001,-112.844233,0.44958721907965143,0.2545454545454545
67,"500 5 ST, LETHBRIDGE, AB, Canada",132,49.6924793,-112.8402791,0.45210976914844825,0.31636363636363635
68,"1700 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",131,49.67478,-112.80307,0.4546132089894512,0.2545454545454545
69,"3100 26 AV, LETHBRIDGE, AB, Canada",122,49.72744710000001,-112.7971815,0.4569446567803088,0.24363636363636362
70,"300 13 ST, LETHBRIDGE, AB, Canada",121,49.6959652,-112.8241116,0.4592569943433726,0.23272727272727273
71,"1 BERKELEY PL, LETHBRIDGE, AB, Canada",119,49.67661,-112.8713872,0.4615311114508485,0.24
72,"1600 SCENIC HT, LETHBRIDGE, AB, Canada",119,49.6738169,-112.8199189,0.4638052285583244,0.24363636363636362
73,"200 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",118,49.70090820000001,-112.8123173,0.4660602354380064,0.24727272727272728
74,"400 COLUMBIA BD, LETHBRIDGE, AB, Canada",118,49.6741614,-112.8846008,0.46831524231768845,0.21454545454545454
75,"300 6 ST, LETHBRIDGE, AB, Canada",117,49.695854,-112.838645,0.4705511389695765,0.2545454545454545
76,"1300 LAKEMOUNT BD, LETHBRIDGE, AB, Canada",117,49.679126,-112.7894772,0.4727870356214646,0.20727272727272728
77,"3700 2 AV, LETHBRIDGE, AB, Canada",115,49.7006656,-112.7871025,0.47498471181776486,0.2109090909090909
78,"600 COLUMBIA BD, LETHBRIDGE, AB, Canada",113,49.67339399999999,-112.8917708,0.4771441675584773,0.21818181818181817
79,"400 12 ST, LETHBRIDGE, AB, Canada",112,49.704432,-112.8302753,0.4792845130713958,0.2545454545454545
80,"2300 13 ST, LETHBRIDGE, AB, Canada",111,49.7250078,-112.825161,0.4814057483565204,0.21818181818181817
81,"200 MCGILL BD, LETHBRIDGE, AB, Canada",110,49.666947,-112.8756146,0.4835078734138511,0.20727272727272728
82,"100 STAFFORD DR, LETHBRIDGE, AB, Canada",109,49.6975954,-112.8342054,0.48559088824338786,0.2109090909090909
83,"1400 9 AV, LETHBRIDGE, AB, Canada",107,49.6856973,-112.822353,0.4876356826173368,0.22181818181818183
84,"1 MICMAC BD, LETHBRIDGE, AB, Canada",106,49.6861331,-112.884923,0.4896613667634918,0.19272727272727272
85,"1300 23 AV, LETHBRIDGE, AB, Canada",105,49.7245518,-112.8234501,0.49166794068185293,0.20727272727272728
86,"1700 23 ST, LETHBRIDGE, AB, Canada",103,49.7199119,-112.8112381,0.49363629414462623,0.21818181818181817
87,"100 ALGONQUIN RD, LETHBRIDGE, AB, Canada",103,49.6819291,-112.8824147,0.4956046476073995,0.1709090909090909
88,"500 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",102,49.6930843,-112.8101227,0.49755389084237883,0.2
89,"1 MAURETANIA RD, LETHBRIDGE, AB, Canada",102,49.6707998,-112.9090726,0.4995031340773582,0.22545454545454546
90,"900 2 AV, LETHBRIDGE, AB, Canada",101,49.7007354,-112.8230618,0.5014332670845436,0.17454545454545456
91,"1400 ASHGROVE RD, LETHBRIDGE, AB, Canada",101,49.67801250000001,-112.7890276,0.5033634000917291,0.1781818181818182
92,"1100 12B ST, LETHBRIDGE, AB, Canada",98,49.71508,-112.8274727,0.5052362024155328,0.1890909090909091
93,"1200 2 AV, LETHBRIDGE, AB, Canada",98,49.7007355,-112.8230521,0.5071090047393365,0.2581818181818182
94,"200 12B ST, LETHBRIDGE, AB, Canada",95,49.6969565,-112.8261119,0.5089244763797585,0.2581818181818182
95,"2600 SCENIC DR, LETHBRIDGE, AB, Canada",95,49.7274751,-112.830167,0.5107399480201804,0.18181818181818182
96,"2600 BLACKWOLF BD, LETHBRIDGE, AB, Canada",95,49.7384072,-112.8020445,0.5125554196606024,0.17454545454545456
97,"2000 7 AV, LETHBRIDGE, AB, Canada",93,49.6892285,-112.812683,0.5143326708454364,0.18181818181818182
98,"1200 1 AV, LETHBRIDGE, AB, Canada",92,49.6980888,-112.8286927,0.5160908118024767,0.1890909090909091
100,"1 AQUITANIA BD, LETHBRIDGE, AB, Canada",89,49.67377219999999,-112.9028404,0.5194924323497936,0.20363636363636364
